familiarity,factual_description,refusal_clean,clarification_request,disclaim_then_produce,misidentification_offer,meta_test_comment,conditional_invitation,compliant_invention,uncoded,empty,error,total
famous,213,0,21,0,18,0,1,47,0,0,0,300
obscure,47,0,117,4,14,1,0,117,0,0,0,300
