origin,factual_description,confabulation,refusal_clean,clarification_request,disclaim_then_produce,misidentification_offer,meta_test_comment,conditional_invitation,compliant_invention,uncoded,empty,error,total
carry_over,7,88,1,300,6,34,0,0,164,0,0,0,600
new,605,12,0,126,1,2,0,2,152,0,0,0,900
